instancia tiempo tel precision
exp/pr-1-1-p2p-Gnutella08.txt 21835538.000000 0.300000 0.001000
exp/pr-1-1-p2p-Gnutella08.txt 21545973.000000 0.600000 0.001000
exp/pr-1-1-p2p-Gnutella08.txt 21725603.000000 0.850000 0.001000
exp/pr-1-2-p2p-Gnutella04.txt 42131461.000000 0.300000 0.001000
exp/pr-1-2-p2p-Gnutella04.txt 41945867.000000 0.600000 0.001000
exp/pr-1-2-p2p-Gnutella04.txt 41901769.000000 0.850000 0.001000
exp/pr-1-1-p2p-Gnutella08.txt 23077113.000000 0.300000 0.000010
exp/pr-1-1-p2p-Gnutella08.txt 23726290.000000 0.600000 0.000010
exp/pr-1-1-p2p-Gnutella08.txt 22787020.000000 0.850000 0.000010
exp/pr-1-2-p2p-Gnutella04.txt 42824133.000000 0.300000 0.000010
exp/pr-1-2-p2p-Gnutella04.txt 43736759.000000 0.600000 0.000010
exp/pr-1-2-p2p-Gnutella04.txt 43035475.000000 0.850000 0.000010
exp/web-Stanford.txt 4117248996.000000 0.300000 0.001000
exp/web-Stanford.txt 4361384839.000000 0.600000 0.001000
exp/web-Stanford.txt 4043309900.000000 0.850000 0.001000
exp/web-Stanford.txt 5529066048.000000 0.300000 0.000010
exp/web-Stanford.txt 5782864574.000000 0.600000 0.000010
exp/web-Stanford.txt 6338038854.000000 0.850000 0.000010
