nodos tiempo
1000 2347172.000000
3000 6392140.000000
5000 8356307.000000
7000 12627529.000000
9000 20997520.000000
11000 26194799.000000
13000 38544026.000000
15000 30628562.000000
17000 46129678.000000
19000 41854250.000000
21000 55236605.000000
23000 52082771.000000
25000 76699751.000000
27000 73319244.000000
29000 79047724.000000
31000 93126110.000000
33000 86191115.000000
35000 90464249.000000
37000 102032309.000000
39000 107297482.000000
41000 114703043.000000
43000 115235458.000000
45000 128937591.000000
47000 134482442.000000
49000 134100880.000000
51000 168866729.000000
53000 153956387.000000
55000 171913702.000000
57000 164970222.000000
59000 263318455.000000
61000 173416287.000000
63000 173903252.000000
65000 199748842.000000
67000 199380410.000000
69000 208597025.000000
71000 225544157.000000
73000 229902404.000000
75000 218400760.000000
77000 246939999.000000
79000 231824475.000000
81000 251127304.000000
83000 256493648.000000
85000 259765928.000000
87000 271296639.000000
89000 264892003.000000
91000 273963290.000000
93000 301618654.000000
95000 297428256.000000
97000 321546861.000000
99000 285905225.000000
